"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","51556","Увеличение счетчика за сегодня в ленте после оформления заказа","","2025-11-27","passed","2025-11-27","TestOrderFeed","test_order_feed","",""
"","70499","Увеличение общего времени в ленте после оформления заказа","","2025-11-26","broken","2025-11-26","TestOrderFeed","test_order_feed","",""
"","11629","Перемещение булки в блок добавления и верификация номера заказа в ленте","","2025-11-26","broken","2025-11-26","TestFunctionality","test_functionality","",""
"","814","Открытие окна ингредиента при клике на bun","","2025-11-26","passed","2025-11-26","TestFunctionality","test_functionality","",""
"","51478","Увеличение общего времени в ленте после оформления заказа","","2025-11-26","passed","2025-11-26","TestOrderFeed","test_order_feed","",""
"","1571","Переходим из главной в конструктор через кнопку 'Конструктор' и проверяем текст конструктора","","2025-11-26","passed","2025-11-26","TestFunctionality","test_functionality","",""
"","656","Переходим из главной в конструктор через кнопку 'Конструктор' и проверяем текст конструктора","","2025-11-26","passed","2025-11-26","TestFunctionality","test_functionality","",""
"","20812","Закрытие модального окна ингредиента через крестик","","2025-11-26","passed","2025-11-26","TestFunctionality","test_functionality","",""
"","20722","Закрытие модального окна ингредиента через крестик","","2025-11-26","passed","2025-11-26","TestFunctionality","test_functionality","",""
"","1396","Переход в ленту и проверка заголовка ленты заказов","","2025-11-26","passed","2025-11-26","TestFunctionality","test_functionality","",""
"","1513","Переход в ленту и проверка заголовка ленты заказов","","2025-11-26","passed","2025-11-26","TestFunctionality","test_functionality","",""
"","70314","Увеличение счетчика за сегодня в ленте после оформления заказа","","2025-11-26","broken","2025-11-27","TestOrderFeed","test_order_feed","",""
"","31290","Проверка номера заказа в ленте после оформления","","2025-11-27","passed","2025-11-27","TestOrderFeed","test_order_feed","",""
"","40356","Проверка номера заказа в ленте после оформления","","2025-11-27","broken","2025-11-27","TestOrderFeed","test_order_feed","",""
"","853","Открытие окна ингредиента при клике на bun","","2025-11-26","passed","2025-11-26","TestFunctionality","test_functionality","",""
"","1378","Перемещение булки в блок добавления и верификация номера заказа в ленте","","2025-11-26","passed","2025-11-26","TestFunctionality","test_functionality","",""
